name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom
"Dauntless Bodyguard",1,"Creature - Human Knight",W,"dom","14",uncommon,null,Owned,Non-foil,false,,,"","",67493,false
"Esper Sentinel",1,"Artifact Creature - Human Soldier",W,"mh2","12",rare,null,Proxied,Non-foil,false,,,"","",90393,false
"Giver of Runes",1,"Creature - Kor Cleric",W,"mh1","13",rare,null,Proxied,Non-foil,false,,,"","",72398,false
"Isamaru, Hound of Konda",1,"Legendary Creature - Dog",W,"plst","CHK-19",rare,null,Proxied,Non-foil,false,,,"","",-1,false
"Kytheon, Hero of Akros",1,"Legendary Creature - Human Soldier",W,"ori","23",mythic,null,Owned,Non-foil,false,,,"","",57876,false
"Mother of Runes",1,"Creature - Human Cleric",W,"ulg","14",uncommon,null,Owned,Non-foil,false,,,"","",12553,false
"Student of Warfare",1,"Creature - Human Knight",W,"plst","ROE-47",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Thraben Inspector",1,"Creature - Human Soldier",W,"2xm","35",common,null,Owned,Non-foil,false,,,"","",82104,false
"Usher of the Fallen",1,"Creature - Spirit Warrior",W,"khm","35",uncommon,null,Owned,Non-foil,false,,,"","",87393,false
"Cathar Commando",2,"Creature - Human Soldier",W,"mid","10",common,null,Owned,Non-foil,false,,,"","",92942,false
"Intrepid Adversary",2,"Creature - Human Scout",W,"dbl","25",mythic,null,Owned,Non-foil,false,,,"","",96258,false
"Kor Skyfisher",2,"Creature - Kor Soldier",W,"ddo","16",common,null,Owned,Non-foil,false,,,"","",-1,false
"Lion Sash",2,"Artifact Creature - Equipment Cat",W,"neo","368",rare,null,Proxied,Non-foil,false,,,"","",-1,false
"Luminarch Aspirant",2,"Creature - Human Cleric",W,"ncc","205",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Mina Harker",2,"Legendary Creature - Human Soldier",W,"vow","331",rare,null,Proxied,Non-foil,false,,,"","",-1,false
"Selfless Spirit",2,"Creature - Spirit Cleric",W,"plst","EMN-40",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Stoneforge Mystic",2,"Creature - Kor Artificer",W,"wwk","20",rare,null,Owned,Non-foil,false,,,"","",35737,false
"Wall of Omens",2,"Creature - Wall",W,"ddk","4",uncommon,null,Owned,Non-foil,false,,,"","",48067,false
"Adeline, Resplendent Cathar",3,"Legendary Creature - Human Knight",W,"mid","1",rare,null,Owned,Non-foil,false,,,"","",92916,false
"Blade Splicer",3,"Creature - Phyrexian Human Artificer",W,"2xm","9",rare,null,Owned,Non-foil,false,,,"","",82052,false
"Brimaz, King of Oreskos",3,"Legendary Creature - Cat Soldier",W,"sld","497",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Flickerwisp",3,"Creature - Elemental",W,"eve","6",uncommon,null,Owned,Non-foil,false,,,"","",29970,false
"Monastery Mentor",3,"Creature - Human Monk",W,"plst","FRF-20",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Porcelain Legionnaire",3,"Artifact Creature - Phyrexian Soldier",W,"nph","19",common,null,Owned,Non-foil,false,,,"","",39834,false
"Recruiter of the Guard",3,"Creature - Human Soldier",W,"cn2","22",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Skyclave Apparition",3,"Creature - Kor Spirit",W,"znr","39",rare,null,Owned,Non-foil,false,,,"","",83023,false
"Thalia, Heretic Cathar",3,"Legendary Creature - Human Soldier",W,"emn","46",rare,null,Owned,Non-foil,false,,,"","",61308,false
"Hero of Bladehold",4,"Creature - Human Knight",W,"pmbs","8★",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Palace Jailer",4,"Creature - Human Soldier",W,"cn2","18",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Seasoned Dungeoneer",4,"Creature - Human Warrior",W,"clb","660",rare,null,Owned,Non-foil,false,,,"","",101416,false
"Angel of Invention",5,"Creature - Angel",W,"kld","4",mythic,null,Owned,Non-foil,false,,,"","",61887,false
"Archangel Avacyn",5,"Legendary Creature - Angel",W,"v17","1",mythic,null,Owned,Non-foil,false,,,"","",66393,false
"Baneslayer Angel",5,"Creature - Angel",W,"m21","6",mythic,null,Owned,Non-foil,false,,,"","",81239,false
"Karmic Guide",5,"Creature - Angel Spirit",W,"sld","281",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Reveillark",5,"Creature - Elemental",W,"mma","26",rare,null,Owned,Non-foil,false,,,"","",48750,false
"Sun Titan",6,"Creature - Giant",W,"pm11","35★",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Elesh Norn, Grand Cenobite",7,"Legendary Creature - Phyrexian Praetor",W,"mm2","16",mythic,null,Owned,Non-foil,false,,,"","",57312,false
"Iona, Shield of Emeria",9,"Legendary Creature - Angel",W,"zen","13",mythic,null,Owned,Non-foil,false,,,"","",34614,false
"Elspeth, Knight-Errant",4,"Legendary Planeswalker - Elspeth",W,"ddf","1",mythic,null,Owned,Non-foil,false,,,"","",37698,false
"Gideon, Ally of Zendikar",4,"Legendary Planeswalker - Gideon",W,"bfz","29",mythic,null,Owned,Non-foil,false,,,"","",58317,false
"The Wandering Emperor",4,"Legendary Planeswalker",W,"neo","316",mythic,null,Proxied,Non-foil,false,,,"","",-1,false
"Gideon Jura",5,"Legendary Planeswalker - Gideon",W,"m12","16",mythic,null,Owned,Non-foil,false,,,"","",41273,false
"Elspeth, Sun's Champion",6,"Legendary Planeswalker - Elspeth",W,"ddo","1",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Solitude",0,"Instant",W,"mh2","32",mythic,null,Owned,Non-foil,false,,,"","",90433,false
"Enlightened Tutor",1,"Instant",W,"ema","9",rare,null,Owned,Non-foil,false,,,"","",60889,false
"Mana Tithe",1,"Instant",W,"plc","25",common,null,Owned,Non-foil,false,,,"","",26511,false
"Path to Exile",1,"Instant",W,"dci","24",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Swords to Plowshares",1,"Instant",W,"3ed","41",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Disenchant",2,"Instant",W,"5ed","26",common,null,Owned,Non-foil,false,,,"","",-1,false
"Fateful Absence",2,"Instant",W,"dbl","18",rare,null,Owned,Non-foil,false,,,"","",96244,false
"Teferi's Protection",3,"Instant",W,"2x2","32",rare,null,Owned,Non-foil,false,,,"","",101548,false
"Balance",2,"Sorcery",W,"leb","3",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Armageddon",4,"Sorcery",W,"leb","2",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Day of Judgment",4,"Sorcery",W,"m11","12",rare,null,Owned,Non-foil,false,,,"","",37288,false
"Ravages of War",4,"Sorcery",W,"ptk","17",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Wrath of God",4,"Sorcery",W,"wc04","gn58",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Spectral Procession",6,"Sorcery",W,"shm","23",uncommon,null,Owned,Non-foil,false,,,"","",29605,false
"Mox Pearl",0,"Artifact",W,"vma","7",bonus,null,Proxied,Non-foil,false,,,"","",52597,false
"Portable Hole",1,"Artifact",W,"afr","33",uncommon,null,Proxied,Non-foil,false,,,"","",91568,false
"Land Tax",1,"Enchantment",W,"g10","5",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Swift Reconfiguration",1,"Enchantment - Aura",W,"nec","10",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Banishing Light",3,"Enchantment",W,"khc","19",uncommon,null,Owned,Non-foil,false,,,"","",87943,false
"Oblivion Ring",3,"Enchantment",W,"lrw","34",common,null,Owned,Non-foil,false,,,"","",28229,false
"Cave of the Frost Dragon",0,"Land",W,"afr","253",rare,White,Owned,Non-foil,false,,,"","",92008,false
"Karakas",0,"Legendary Land",W,"uma","244",mythic,White,Proxied,Non-foil,false,,,"","",70065,false
"Jace, Vryn's Prodigy",2,"Legendary Creature - Human Wizard",U,"ori","60",mythic,null,Owned,Non-foil,false,,,"","",57880,false
"Phantasmal Image",2,"Creature - Illusion",U,"m12","72",rare,null,Owned,Non-foil,false,,,"","",41369,false
"Snapcaster Mage",2,"Creature - Human Wizard",U,"plst","ISD-78",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Thieving Skydiver",2,"Creature - Merfolk Rogue",U,"znr","85",rare,null,Owned,Non-foil,false,,,"","",83127,false
"Deceiver Exarch",3,"Creature - Phyrexian Cleric",U,"nph","33",uncommon,null,Owned,Non-foil,false,,,"","",39726,false
"Man-o'-War",3,"Creature - Jellyfish",U,"ddo","38",common,null,Owned,Non-foil,false,,,"","",-1,false
"Spellseeker",3,"Creature - Human Wizard",U,"bbd","41",rare,null,Owned,Non-foil,false,,,"","",68810,false
"Trinket Mage",3,"Creature - Human Wizard",U,"tsr","320",special,null,Owned,Non-foil,false,,,"","",87017,false
"True-Name Nemesis",3,"Creature - Merfolk Rogue",U,"bbd","136",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Vendilion Clique",3,"Legendary Creature - Faerie Wizard",U,"mm2","67",mythic,null,Owned,Non-foil,false,,,"","",57380,false
"Glen Elendra Archmage",4,"Creature - Faerie Wizard",U,"eve","22",rare,null,Owned,Non-foil,false,,,"","",30226,false
"Phyrexian Metamorph",4,"Artifact Creature - Phyrexian Shapeshifter",U,"nph","42",rare,null,Owned,Non-foil,false,,,"","",39734,false
"Sower of Temptation",4,"Creature - Faerie Wizard",U,"bbd","131",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Urza, Lord High Artificer",4,"Legendary Creature - Human Artificer",U,"h1r","11",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Venser, Shaper Savant",4,"Legendary Creature - Human Wizard",U,"fut","46",rare,null,Owned,Non-foil,false,,,"","",26594,false
"Mulldrifter",5,"Creature - Elemental",U,"afc","87",uncommon,null,Owned,Non-foil,false,,,"","",-1,false
"Riftwing Cloudskate",5,"Creature - Illusion",U,"tsr","82",uncommon,null,Owned,Non-foil,false,,,"","",86527,false
"Consecrated Sphinx",6,"Creature - Sphinx",U,"ima","47",mythic,null,Owned,Non-foil,false,,,"","",65973,false
"Torrential Gearhulk",6,"Artifact Creature - Construct",U,"kld","67",mythic,null,Owned,Non-foil,false,,,"","",61917,false
"Inkwell Leviathan",9,"Artifact Creature - Leviathan",U,"c18","91",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Jace Beleren",3,"Legendary Planeswalker - Jace",U,"pmei","2009-1",mythic,null,Owned,Non-foil,false,,,"","",-1,false
"Narset, Parter of Veils",3,"Legendary Planeswalker - Narset",U,"sld","1141",rare,null,Owned,Non-foil,false,,,"","",-1,false
"Jace, the Mind Sculptor",4,"Legendary Planeswalker - Jace",U,"wwk","31",mythic,null,Owned,Non-foil,false,,,"","",35591,false
"Tezzeret the Seeker",5,"Legendary Planeswalker - Tezzeret",U,"ala","60",mythic,null,Owned,Non-foil,false,,,"","",30979,false
"Daze",0,"Instant",U,"jvc","23",common,null,Owned,Non-foil,false,,,"","",-1,false
"Force of Negation",0,"Instant",U,"2x2","50",rare,null,Owned,Non-foil,false,,,"","",101584,false
